team,nombre,posicion,club,tipo_lista,liga_top,fuente
Mexico,Álex Padilla,arqueros,Athletic Club,pre-lista,True,scraper
Mexico,Antonio Rodríguez,arqueros,Tijuana,pre-lista,False,scraper
Mexico,Carlos Acevedo,arqueros,Santos Laguna,pre-lista,False,scraper
Mexico,Carlos Moreno,arqueros,Pachuca,pre-lista,False,scraper
Mexico,Guillermo Ochoa,arqueros,AEL Limassol,pre-lista,False,scraper
Mexico,Raúll Rangel,arqueros,Chivas,pre-lista,False,scraper
Mexico,Bryan González,defensores,Chivas,pre-lista,False,scraper
Mexico,César Montes,defensores,Lokomotiv Moscow,pre-lista,False,scraper
Mexico,Edson álvarez,defensores,Fenerbahçe,pre-lista,False,scraper
Mexico,Eduardo Águila,defensores,Atlético de San Luis,pre-lista,False,scraper
Mexico,Everardo López,defensores,Toluca,pre-lista,False,scraper
Mexico,Israel Reyes,defensores,América,pre-lista,False,scraper
Mexico,Jesús Angulo,defensores,Tigres,pre-lista,False,scraper
Mexico,Jesús Gallardo,defensores,Toluca,pre-lista,False,scraper
Mexico,Jesús Gómez,defensores,Tijuana,pre-lista,False,scraper
Mexico,Johan Vásquez,defensores,Genoa,pre-lista,True,scraper
Mexico,Jorge Sá;nchez,defensores,PAOK,pre-lista,False,scraper
Mexico,Julián Araujo,defensores,Celtic,pre-lista,False,scraper
Mexico,Luis Rey,defensores,Puebla,pre-lista,False,scraper
Mexico,Mateo Chávez,defensores,AZ Alkmaar,pre-lista,False,scraper
Mexico,Ramón Juárez,defensores,América,pre-lista,False,scraper
Mexico,Richard Ledezma,defensores,Chivas,pre-lista,False,scraper
Mexico,Víctor Guzmán,defensores,Monterrey,pre-lista,False,scraper
Mexico,Alexei Domínguez,centrocampistas,Pachuca,pre-lista,False,scraper
Mexico,Alexis Gutiérrez,centrocampistas,America,pre-lista,False,scraper
Mexico,Álvaro Fidalgo,centrocampistas,Real Betis,pre-lista,True,scraper
Mexico,Brian Gutiérrez,centrocampistas,Chivas,pre-lista,False,scraper
Mexico,Carlos Rodríguez,centrocampistas,Cruz Azul,pre-lista,False,scraper
Mexico,Denzell Garcia,centrocampistas,FC Juarez,pre-lista,False,scraper
Mexico,Diego Lainez,centrocampistas,Tigres,pre-lista,False,scraper
Mexico,Efrain Álvarez,centrocampistas,Chivas,pre-lista,False,scraper
Mexico,Elias Montiel,centrocampistas,Pachuca,pre-lista,False,scraper
Mexico,Erick Sánchez,centrocampistas,America,pre-lista,False,scraper
Mexico,Erik Lira,centrocampistas,Cruz Azul,pre-lista,False,scraper
Mexico,Gilberto Mora,centrocampistas,Tijuana,pre-lista,False,scraper
Mexico,Isaías Violante,centrocampistas,América,pre-lista,False,scraper
Mexico,Jeremy Márquez,centrocampistas,Cruz Azul,pre-lista,False,scraper
Mexico,Jordan Carrillo,centrocampistas,Pumas,pre-lista,False,scraper
Mexico,Jorge Ruvalcaba,centrocampistas,NY Red Bulls,pre-lista,False,scraper
Mexico,Kevin Castañeda,centrocampistas,Tijuana,pre-lista,False,scraper
Mexico,Luis Chávez,centrocampistas,Dinamo Moscu,pre-lista,False,scraper
Mexico,Luis Romo,centrocampistas,Chivas,pre-lista,False,scraper
Mexico,Marcel Ruiz,centrocampistas,Toluca,pre-lista,False,scraper
Mexico,Obed Vargas,centrocampistas,Atlético de Madrid,pre-lista,True,scraper
Mexico,Orbelín Pineda,centrocampistas,AEK,pre-lista,False,scraper
Mexico,Jesús Angulo,centrocampistas,Toluca,pre-lista,False,scraper
Mexico,Alexis Vega,delanteros,Toluca,pre-lista,False,scraper
Mexico,Armando González,delanteros,Chivas,pre-lista,False,scraper
Mexico,César Huerta,delanteros,Anderlecht,pre-lista,False,scraper
Mexico,Germán Berterame,delanteros,Inter Miami,pre-lista,False,scraper
Mexico,Guillermo Martínez,delanteros,Pumas,pre-lista,False,scraper
Mexico,Julián Quiñoones,delanteros,Al-Qadisiyah,pre-lista,False,scraper
Mexico,Raúl Jiménez,delanteros,Fulham,pre-lista,True,scraper
Mexico,Roberto Alvarado,delanteros,Chivas,pre-lista,False,scraper
Mexico,Santiago Giménez,delanteros,Milán,pre-lista,False,scraper
South Korea,Kim Seung-gyu,arqueros,FC Tokio,final,False,scraper
South Korea,Bum-keun Song,arqueros,Jeonbuk,final,False,scraper
South Korea,Hyeon-woo Jo,arqueros,Ulsan,final,False,scraper
South Korea,Kim Moon-hwan,defensores,Daejeon,final,False,scraper
South Korea,Kim Min-jae,defensores,Bayern Múnich,final,False,scraper
South Korea,Kim Tae-hyeon,defensores,Kashima Antlers,final,False,scraper
South Korea,Jin-seop Park,defensores,Zhejiang,final,False,scraper
South Korea,Young-woo Seol,defensores,Estrella Roja,final,False,scraper
South Korea,Jens Castrop,defensores,Borussia Mönchengladbach,final,True,scraper
South Korea,Ki-hyuk Lee,defensores,Gangwon,final,False,scraper
South Korea,Tae-seok Lee,defensores,Austria Viena,final,False,scraper
South Korea,Han-beom Lee,defensores,Midtjylland,final,False,scraper
South Korea,Yu-min Cho,defensores,Al Sharjah,final,False,scraper
South Korea,Kim Jin-gyu,centrocampistas,Jeonbuk,final,False,scraper
South Korea,Jun-ho Bae,centrocampistas,Stoke City,final,False,scraper
South Korea,Seung-ho Paik,centrocampistas,Birmingham,final,False,scraper
South Korea,Hyun-jun Yang,centrocampistas,Celtic Glasgow,final,False,scraper
South Korea,Ji-sung Eom,centrocampistas,Swansea,final,False,scraper
South Korea,Kang-in Lee,centrocampistas,PSG,final,False,scraper
South Korea,Dong-gyeong Lee,centrocampistas,Ulsan,final,False,scraper
South Korea,Jae-sung Lee,centrocampistas,Mainz,final,True,scraper
South Korea,In-beom Hwang,centrocampistas,Feyenoord,final,False,scraper
South Korea,Hee-chan Hwang,centrocampistas,Wolverhampton,final,True,scraper
South Korea,Heung-min Son,delanteros,LAFC,final,False,scraper
South Korea,Hyeon-gyu Oh,delanteros,Besiktas,final,False,scraper
South Korea,Gue-sung Cho,delanteros,Midtjylland,final,False,scraper
Czechia,Lukas Hornicek,arqueros,Braga,pre-lista,False,scraper
Czechia,Matej Kovar,arqueros,PSV Eindhoven,pre-lista,True,scraper
Czechia,Jindrich Stanek,arqueros,Slavia Prague,pre-lista,False,scraper
Czechia,Vladimir Coufal,defensores,TSG Hoffenheim,pre-lista,False,scraper
Czechia,David Douděra,defensores,Slavia Prague,pre-lista,False,scraper
Czechia,Tomáš Holeš;,defensores,Slavia Prague,pre-lista,False,scraper
Czechia,Robin Hranáč;,defensores,TSG Hoffenheim,pre-lista,False,scraper
Czechia,Štěpán Chaloupek,defensores,Slavia Prague,pre-lista,False,scraper
Czechia,David Jurásek,defensores,Slavia Prague,pre-lista,False,scraper
Czechia,Ladislav Krejcí;,defensores,Wolverhampton Wanderers,pre-lista,True,scraper
Czechia,Jaroslav Zelený;,defensores,Sparta Prague,pre-lista,False,scraper
Czechia,David Zima,defensores,Slavia Prague,pre-lista,False,scraper
Czechia,Pavel Bucha,centrocampistas,FC Cincinnati,pre-lista,False,scraper
Czechia,Lukas Cerv,centrocampistas,Viktoria Plzen,pre-lista,False,scraper
Czechia,Vladimir Darida,centrocampistas,Hradec Kralove,pre-lista,False,scraper
Czechia,Tomáš Ladra,centrocampistas,Viktoria Plzen,pre-lista,False,scraper
Czechia,Lukas Provod,centrocampistas,Slavia Prague,pre-lista,False,scraper
Czechia,Michal Sadílek,centrocampistas,Slavia Prague,pre-lista,False,scraper
Czechia,Hugo Sochůrek,centrocampistas,Sparta Prague,pre-lista,False,scraper
Czechia,Alexandr Sojka,centrocampistas,Viktoria Plzen,pre-lista,False,scraper
Czechia,Tomáš Souček,centrocampistas,West Ham,pre-lista,True,scraper
Czechia,Pavel Šulc,centrocampistas,Lyon,pre-lista,True,scraper
Czechia,Denis Višinský;,centrocampistas,Viktoria Plzen,pre-lista,False,scraper
Czechia,Adam Hložek,delanteros,TSG Hoffenheim,pre-lista,False,scraper
Czechia,Tomáš Chorý;,delanteros,Slavia Prague,pre-lista,False,scraper
Czechia,Mojmír Chytil,delanteros,Slavia Prague,pre-lista,False,scraper
Czechia,Christophe Kabongo,delanteros,Mlada Boleslav,pre-lista,False,scraper
Czechia,Jan Kuchta,delanteros,Sparta Prague,pre-lista,False,scraper
Czechia,Patrik Schick,delanteros,Bayer Leverkusen,pre-lista,True,scraper
Bosnia and Herzegovina,Nikola Vasilj,arqueros,St Pauli,final,False,scraper
Bosnia and Herzegovina,Martin Zlomislic,arqueros,Rijeka,final,False,scraper
Bosnia and Herzegovina,Osman Hadzikic,arqueros,Slaven Belupo,final,False,scraper
Bosnia and Herzegovina,Sead Kolasinac,defensores,Atalanta,final,True,scraper
Bosnia and Herzegovina,Amar Dedic,defensores,Benfica,final,True,scraper
Bosnia and Herzegovina,Nihad Mujakic,defensores,Gaziantep,final,False,scraper
Bosnia and Herzegovina,Nikola Katic,defensores,Schalke 04,final,False,scraper
Bosnia and Herzegovina,Tarik Muharemovic,defensores,Sassuolo,final,True,scraper
Bosnia and Herzegovina,Stjepan Radeljic,defensores,Rijeka,final,False,scraper
Bosnia and Herzegovina,Dennis Hadzikadunic,defensores,Sampdoria,final,False,scraper
Bosnia and Herzegovina,Nidal Celik,defensores,Lens,final,False,scraper
Bosnia and Herzegovina,Amir Hadziahmetovic,centrocampistas,Hull City,final,False,scraper
Bosnia and Herzegovina,Ivan Sunjic,centrocampistas,Pafos,final,False,scraper
Bosnia and Herzegovina,Ivan Basic,centrocampistas,Astana,final,False,scraper
Bosnia and Herzegovina,Dzenis Burnic,centrocampistas,Karlsruher SC,final,False,scraper
Bosnia and Herzegovina,Ermin Mahmic,centrocampistas,Slovan Liberec,final,False,scraper
Bosnia and Herzegovina,Benjamin Tahirovic,centrocampistas,Brondby,final,False,scraper
Bosnia and Herzegovina,Amar Memic,centrocampistas,Viktoria Plzen,final,False,scraper
Bosnia and Herzegovina,Armin Gigovic,centrocampistas,Young Boys,final,False,scraper
Bosnia and Herzegovina,Kerim Alajbegovic,centrocampistas,RB Salzburg,final,False,scraper
Bosnia and Herzegovina,Esmir Bajraktarevic,centrocampistas,PSV Eindhoven,final,True,scraper
Bosnia and Herzegovina,Ermedin Demirovic,delanteros,VfB Stuttgart,final,True,scraper
Bosnia and Herzegovina,Jovo Lukic,delanteros,Universitatea Cluj,final,False,scraper
Bosnia and Herzegovina,Samed Bazdar,delanteros,Jagiellonia Bialystok,final,False,scraper
