date,team,elo_before
1872-11-30,Scotland,1500.0
1872-11-30,England,1500.0
1873-03-08,England,1502.8012999960577
1873-03-08,Scotland,1497.1987000039423
1874-03-07,Scotland,1490.1479205774972
1874-03-07,England,1509.8520794225028
1875-03-06,England,1502.1228932946335
1875-03-06,Scotland,1497.8771067053665
1876-03-04,Scotland,1500.7906308431604
1876-03-04,England,1499.2093691568396
1876-03-25,Scotland,1507.9474436539078
1876-03-25,Wales,1500.0
1877-03-03,England,1492.0525563460922
1877-03-03,Scotland,1514.9367266089882
1877-03-05,Wales,1493.0107170449196
1877-03-05,Scotland,1527.1205537613728
1878-03-02,Scotland,1538.9946113217627
1878-03-02,England,1479.8687291937076
1878-03-23,Scotland,1544.7100747481604
1878-03-23,Wales,1481.1366594845297
1879-01-18,England,1474.15326576731
1879-01-18,Wales,1475.5251314514041
1879-04-05,England,1481.388392806616
1879-04-05,Scotland,1550.321602781286
1879-04-07,Wales,1468.2900044120981
1879-04-07,Scotland,1541.2134013583654
1880-03-13,Scotland,1551.9911547132526
1880-03-13,England,1490.4965942295362
1880-03-15,Wales,1457.512251057211
1880-03-15,England,1484.8366286268124
1880-03-27,Scotland,1557.6511203159764
1880-03-27,Wales,1445.4504624154636
1881-02-26,England,1496.8984172685598
1881-02-26,Wales,1440.8970992399534
1881-03-12,England,1482.6875858116557
1881-03-12,Scotland,1562.2044834914866
1881-03-14,Wales,1455.1079306968575
1881-03-14,Scotland,1572.7933524803725
1882-02-18,Northern Ireland,1500.0
1882-02-18,England,1472.0987168227698
1882-02-25,Wales,1445.6165188640919
1882-02-25,Northern Ireland,1486.4764549017907
1882-03-11,Scotland,1582.284764313138
1882-03-11,England,1485.622261920979
1882-03-13,Wales,1453.9305826436553
1882-03-13,England,1480.7467142986416
1882-03-25,Scotland,1587.1603119354756
1882-03-25,Wales,1461.8547915950248
1883-02-03,England,1472.822505347272
1883-02-03,Wales,1457.5612593706446
1883-02-24,England,1479.6215949880234
1883-02-24,Northern Ireland,1478.1623911222273
1883-03-10,England,1486.7816372382244
1883-03-10,Scotland,1591.4538441598559
1883-03-12,Wales,1450.7621697298932
1883-03-12,Scotland,1601.319375340444
1883-03-17,Northern Ireland,1471.0023488720262
1883-03-17,Wales,1442.2071385150289
1884-01-26,Northern Ireland,1467.456289329112
1884-01-26,Scotland,1609.8744065553083
1884-02-09,Wales,1445.753198057943
1884-02-09,Northern Ireland,1458.671150728888
1884-02-23,Northern Ireland,1451.1263739304295
1884-02-23,England,1476.9161060576364
1884-03-15,Scotland,1618.6595451555322
1884-03-15,England,1489.020148907941
1884-03-17,Wales,1453.2979748564017
1884-03-17,England,1484.8101370946174
1884-03-29,Scotland,1622.8695569688557
1884-03-29,Wales,1441.3518783845805
1885-02-28,England,1496.7562335664386
1885-02-28,Northern Ireland,1439.022331080125
1885-03-14,England,1502.5044627344403
1885-03-14,Wales,1438.0492867767157
1885-03-14,Scotland,1626.1721485767205
1885-03-14,Northern Ireland,1433.2741019121233
1885-03-21,England,1498.0955221793465
1885-03-21,Scotland,1629.2980511355618
1885-03-23,Wales,1442.4582273318094
1885-03-23,Scotland,1628.4023768848328
