team,elo_rating
Spain,2096.228535164603
Argentina,2046.4669088995336
France,2022.1093734976305
Portugal,1957.148160621015
Brazil,1952.033634882301
England,1948.9581348018787
Ecuador,1926.2500418153236
Colombia,1922.7538809545163
Netherlands,1913.1925477156094
Germany,1899.9336955494425
Croatia,1897.4990719098455
Mexico,1895.6807518419375
Morocco,1895.2288672100146
Japan,1888.5913800428034
Uruguay,1884.0132723778013
Turkey,1878.789111761347
Italy,1865.375262789833
Senegal,1854.8189786828507
Paraguay,1845.497883388347
Norway,1844.4289397287246
Switzerland,1843.4962169542985
Denmark,1838.3240185782934
Belgium,1819.7820672955654
Australia,1817.3729903387764
Iran,1816.4906529543127
Canada,1812.067341614967
South Korea,1805.7865114957935
Panama,1805.4817050933634
Algeria,1801.5346980164536
Yugoslavia,1792.296831460454
Austria,1790.7464932713385
Ukraine,1780.8914147290948
Russia,1768.9148605185803
Uzbekistan,1767.5221905441229
Serbia,1763.672252977463
USA,1761.469507640651
Scotland,1758.1760131101394
Egypt,1750.8737844557065
Greece,1748.9412623273943
Venezuela,1736.3427327920178
Nigeria,1731.2733960511582
Jersey,1725.6999498686994
Chile,1724.9024262939572
Ivory Coast,1723.939168365861
Iraq,1723.7223584775268
Tunisia,1722.430430017162
Sweden,1721.8998198100603
Poland,1718.8331879509092
Czechoslovakia,1717.2204962573815
Czechia,1716.948820527101
Hungary,1716.666393158721
Slovenia,1715.650208871909
Basque Country,1709.2153038139736
Costa Rica,1706.4083110219447
Kosovo,1706.192540009217
Peru,1704.9047096075517
Jordan,1703.391875010595
Wales,1701.8899057808999
DR Congo,1699.051709252804
German DR,1686.0029582553325
Ireland,1685.5944492208878
Bolivia,1685.5206625839608
Honduras,1681.6612786928506
Mali,1674.9396363613535
Guernsey,1672.7001798295942
New Zealand,1672.2463441056675
Haiti,1670.328288224544
Jamaica,1662.0312733786675
Cameroon,1659.565549683813
Slovakia,1658.3870320441795
Saudi Arabia,1658.3672690949395
Burkina Faso,1656.6138309544203
Israel,1646.3452188750468
Romania,1638.1062805021027
Albania,1634.4479403234723
Guatemala,1633.5917994162044
Georgia,1625.9569353070017
Isle of Man,1622.6318477122359
United Arab Emirates,1622.0571837623836
Cape Verde,1615.3767256807453
South Africa,1614.7413786267105
Bosnia and Herzegovina,1614.4758354989954
Ynys Môn,1611.7744634759263
North Macedonia,1611.4822142795686
Padania,1611.4140152606947
Catalonia,1595.1539278115595
Northern Cyprus,1594.9709089423816
Qatar,1594.4419778669842
Ghana,1590.821374504269
Isle of Wight,1587.5404043808983
Occitania,1586.6714976066467
Syria,1581.6586130518153
County of Nice,1578.3494438642415
Abkhazia,1577.4840285831642
Iceland,1576.848822993776
Curaçao,1575.3519151373935
Northern Ireland,1573.4081985831517
Oman,1572.15162993905
Palestine,1564.4912387109453
Suriname,1563.7810677513226
Andalusia,1562.9229849763492
Iraqi Kurdistan,1561.9227155624237
Guinea,1560.009145868376
Kernow,1557.175479296199
Trinidad & Tobago,1555.8451582269513
Benin,1552.5006408822155
New Caledonia,1549.261654470918
Rhodes,1548.89836230617
Kárpátalja,1548.589344084642
Tamil Eelam,1548.1853258490949
Gabon,1546.0491702152508
Belarus,1545.48680946969
Réunion,1545.0769737517928
Angola,1543.232085720722
Artsakh,1534.4390029195688
Corsica,1533.6435548062996
Uganda,1533.4698523244188
Kurdistan,1533.2719415209806
Finland,1532.6244690422745
Zambia,1531.667222254721
Panjab,1531.2442897132833
Chameria,1530.1391022815765
Yorkshire,1529.5337360674912
Menorca,1524.8597574082382
China,1524.419536277963
Arameans Suryoye,1524.3131360418495
Galicia,1524.2127336905942
Bahrain,1523.9207580321063
Gambia,1520.61741993111
Ellan Vannin,1519.519627592333
Maule Sur,1519.4167345713752
Cascadia,1518.950639419627
Thailand,1516.777839082012
Libya,1513.3366248141226
Asturias,1513.3178709372953
Bulgaria,1512.228072428808
Surrey,1511.943670014544
Crimea,1510.9954623216954
Biafra,1510.62236332371
Brittany,1510.2912532995658
Quebec,1509.6952000229737
Franconia,1508.3040590429257
Donetsk PR,1507.9318635983468
Parishes of Jersey,1506.822141051493
Mozambique,1506.7275530340567
Canary Islands,1505.821441589245
Elba Island,1505.1414991574914
Guadeloupe,1504.937972703213
Sealand,1503.9735005045793
South Ossetia,1501.7730429908506
Monaco,1501.328663780278
Matabeleland,1500.6518639009487
Central Spain,1500.3669376095977
Mapuche,1500.28774368332
Nicaragua,1500.038833053429
Tahiti,1499.4533977258293
Felvidék,1499.1682213656752
Niger,1498.3634194997892
Sudan,1497.8992147484903
Délvidék,1496.8028395573263
Saugeais,1496.4732340158973
United Koreans in Japan,1496.3733921405826
Luhansk PR,1496.2539994909462
Guyana,1493.3270109978157
Cilento,1492.8398144183436
North Korea,1492.6834676376463
Somaliland,1490.43088140911
Martinique,1490.2335369175028
Ryūkyū,1489.7468225281086
Yoruba Nation,1489.7414660377071
Silesia,1489.1816942088685
Åland Islands,1488.9616588311803
Madrid,1488.6141019578117
Hmong,1487.9259724999547
West Papua,1487.6646326207613
Madagascar,1487.4439640214887
Seborga,1486.9600225640681
El Salvador,1484.4417641009588
Shetland,1483.9914744489308
Niue,1483.4455980078108
Chechnya,1483.435114809967
South Yemen,1482.5917504766733
Zanzibar,1482.0347100056792
Kabylia,1480.7306026033764
Sierra Leone,1480.675353319675
Fiji,1480.664812460824
Aymara,1480.2955217453048
Montenegro,1479.5966758801803
Western Armenia,1479.4802695557282
Comoros,1479.2266955097791
Malaysia,1478.1771104715874
East Turkestan,1478.0217455626084
Romani people,1477.162647107831
Kenya,1476.7467882971414
Republic of St. Pauli,1475.6561067744751
Gozo,1474.8448604529235
Western Isles,1474.260679401128
Equatorial Guinea,1471.882816948639
Palau,1471.2567159093846
Găgăuzia,1471.247917591213
Dominican Republic,1470.4557452415593
Kazakhstan,1469.8454862778788
North Vietnam,1469.5563472087022
Indonesia,1469.1628264456403
Western Sahara,1468.2960521365942
Tajikistan,1465.7969140359112
Manchukuo,1465.2844717479825
Kuwait,1465.0150700520223
Marshall Islands,1463.2048244497119
Ticino,1462.0000477705667
Zimbabwe,1460.9326866505717
Sark,1459.904381268579
Provence,1459.3855969602623
Togo,1458.5577253775991
Greenland,1457.5855557164343
Vietnam,1456.1300840691022
Saarland,1453.0587976202378
Papua New Guinea,1452.4582292662806
Vatican City,1452.4402627434943
Ambazonia,1451.6615331421033
Vanuatu,1450.9947990018625
Micronesia,1448.8124977861596
Namibia,1448.7067243529436
Raetia,1447.6710215130772
Two Sicilies,1447.2450660818733
Solomon Islands,1445.9601626761316
Gotland,1445.4689489372984
Kyrgyzstan,1445.4356098224007
Lebanon,1444.536127011046
Mayotte,1443.6543766721388
Saint Barthélemy,1440.87000793656
Székely Land,1440.5480554959963
Sápmi,1440.1475012215717
Chagos Islands,1439.83686048529
Mauritania,1438.3475041715321
Orkney,1437.2194208342296
Darfur,1435.6131199093516
Saint Helena,1434.2355984810106
Western Australia,1432.7827952657271
Saint Pierre and Miquelon,1431.4860767375978
Rwanda,1430.9253383016114
Barawa,1425.7482172279977
Hitra,1424.0736431599812
Faroe Islands,1423.966559713811
Tanzania,1423.2796405251488
Malawi,1422.6800677549204
Liberia,1420.5616788456266
Cuba,1420.2177824471912
Lesotho,1417.2275039851795
Armenia,1415.6399690401054
Botswana,1414.7894134864096
Kiribati,1411.837307338295
Ethiopia,1411.0161837579055
Burundi,1405.8941839763065
Yemen DPR,1405.6649445373228
Luxembourg,1402.5937911131323
French Guiana,1396.6699275789078
Wallis Islands and Futuna,1396.574563540001
Saint Vincent and the Grenadines,1396.4169437117625
Puerto Rico,1394.3723678539307
Central African Republic,1393.3938115716019
Turkmenistan,1392.8733647676502
Estonia,1391.8697521580686
Guinea-Bissau,1389.2932253903507
Saare County,1385.8297554861238
Azerbaijan,1385.0912524598264
Vietnam Republic,1372.3369949816056
Tibet,1372.0372247309317
Sint Maarten,1367.588239242075
Cyprus,1366.6330459774179
Tuvalu,1361.3799410154486
Bermuda,1358.3503883256826
Falkland Islands,1353.2453778535853
Congo,1351.314171818516
Frøya,1348.181034401792
Philippines,1345.143573811662
Samoa,1344.1875087864044
Yemen,1342.019277222269
Singapore,1341.2749302163163
Saint Martin,1340.085312778697
Grenada,1334.9332725340525
Moldova,1332.2500169032478
Eswatini,1331.6717237356231
Malta,1325.6523891416036
Latvia,1323.0779760872383
Hong Kong,1322.928074281698
Belize,1319.6372651479778
Saint Kitts and Nevis,1317.6003429001473
Saint Lucia,1312.730665090436
Lithuania,1304.4510940167672
South Sudan,1304.0154098972732
Montserrat,1299.8113297590908
Chad,1283.3069712562574
Cook Islands,1282.0870180049078
Afghanistan,1281.9853820011506
Eritrea,1276.4160642192699
India,1271.543686101931
Bonaire,1240.0191117001807
São Tomé and Príncipe,1238.2324692515376
Aruba,1233.956841734755
Dominica,1232.7888984600577
Mauritius,1230.2510170784392
Northern Mariana Islands,1214.3604397159806
Tonga,1211.8366142638317
Myanmar,1209.18058984063
Barbados,1208.087190180408
Bangladesh,1192.893851467691
American Samoa,1185.150081309398
Alderney,1181.2475901496798
Nepal,1177.4444951258706
Somalia,1172.8497568086495
Antigua and Barbuda,1166.437625685705
Cayman Islands,1156.6103194687526
Djibouti,1146.535854607334
Andorra,1143.4848010347869
Taiwan,1133.9898466254351
Gibraltar,1132.5467928961407
Maldives,1128.1034252957054
Turks and Caicos Islands,1123.3056405912232
Pakistan,1114.5162421031453
Cambodia,1114.2248667815286
Sri Lanka,1110.423459422546
Bahamas,1109.3426149913473
Mongolia,1103.8509813064102
Guam,1101.38077500489
Seychelles,1096.9889986983574
British Virgin Islands,1085.2757201855484
Laos,1061.3677720233497
United States Virgin Islands,1045.1907704107582
Timor-Leste,1040.5851053252418
Liechtenstein,1024.9495990448913
Brunei,1024.5517576934199
Bhutan,1021.7109572716778
Anguilla,1018.4504283815097
San Marino,972.2448574225448
Macau,968.8960721070607
