team,country_abrv,fifa_rank,fifa_points,confederation
Afghanistan,AFG,151,1034.37,AFC
Albania,ALB,66,1379.4,UEFA
Algeria,ALG,44,1474.13,CAF
American Samoa,ASA,188,890.97,OFC
Andorra,AND,162,996.05,UEFA
Angola,ANG,92,1248.94,CAF
Anguilla,AIA,209,779.86,CONCACAF
Antigua and Barbuda,ATG,148,1052.8,CONCACAF
Aotearoa New Zealand,NZL,103,1199.04,OFC
Argentina,ARG,1,1860.14,CONMEBOL
Armenia,ARM,96,1230.79,UEFA
Aruba,ARU,194,873.9,CONCACAF
Australia,AUS,23,1571.29,AFC
Austria,AUT,25,1560.03,UEFA
Azerbaijan,AZE,111,1179.88,UEFA
Bahamas,BAH,203,823.58,CONCACAF
Bahrain,BHR,81,1302.86,AFC
Bangladesh,BAN,185,896.67,AFC
Barbados,BRB,177,932.64,CONCACAF
Belarus,BLR,98,1219.78,UEFA
Belgium,BEL,3,1797.98,UEFA
Belize,BLZ,184,901.43,CONCACAF
Benin,BEN,91,1254.18,CAF
Bermuda,BER,171,971.15,CONCACAF
Bhutan,BHU,183,904.1,AFC
Bolivia,BOL,84,1282.43,CONMEBOL
Bosnia and Herzegovina,BIH,75,1332.3,UEFA
Botswana,BOT,145,1064.19,CAF
Brazil,BRA,4,1791.85,CONMEBOL
British Virgin Islands,VGB,207,801.29,CONCACAF
Brunei Darussalam,BRU,191,881.73,AFC
Bulgaria,BUL,82,1295.5,UEFA
Burkina Faso,BFA,67,1375.16,CAF
Burundi,BDI,140,1091.24,CAF
Cambodia,CAM,180,924.52,AFC
Cameroon,CMR,49,1458.47,CAF
Canada,CAN,48,1461.74,CONCACAF
Cape Verde,CPV,65,1380.53,CAF
Cape Verde Islands,CPV,73,1331.46,CAF
Cayman Islands,CAY,195,865.34,CONCACAF
Central African Republic,CTA,127,1129.3,CAF
Chad,CHA,178,929.97,CAF
Chile,CHI,40,1496.13,CONMEBOL
China,CHN,88,1267.51,AFC
Chinese Taipei,TPE,163,991.34,AFC
Colombia,COL,12,1669.44,CONMEBOL
Comoros,COM,119,1158.71,CAF
Congo,CGO,113,1176.45,CAF
Cook Islands,COK,187,896.59,OFC
