team,squad_value_eur,num_players,avg_player_value,max_player_value
England,1877500000.0,40,48141025.64102564,180000000.0
Brazil,1659800000.0,54,30737037.037037037,200000000.0
France,1608500000.0,38,42328947.368421055,160000000.0
Spain,1579500000.0,39,40500000.0,180000000.0
Portugal,1122000000.0,32,36193548.38709678,75000000.0
Germany,1114000000.0,44,25318181.818181816,140000000.0
Netherlands,1075500000.0,38,28302631.57894737,80000000.0
Argentina,946350000.0,45,21507954.545454547,100000000.0
Belgium,613000000.0,35,17514285.714285713,60000000.0
Uruguay,588600000.0,48,14715000.0,130000000.0
Norway,580200000.0,38,15268421.05263158,200000000.0
Morocco,508735000.0,82,6439683.544303797,60000000.0
USA,452200000.0,60,7536666.666666667,50000000.0
Sweden,414100000.0,44,9411363.636363637,75000000.0
Turkey,413450000.0,39,10601282.051282052,45000000.0
Ivory Coast,396550000.0,47,9012500.0,40000000.0
Japan,383675000.0,70,5560507.2463768115,45000000.0
Colombia,382050000.0,40,9551250.0,85000000.0
Croatia,370000000.0,34,10882352.94117647,75000000.0
Senegal,360450000.0,62,9741891.891891891,55000000.0
Switzerland,336050000.0,40,8401250.0,40000000.0
Ghana,290925000.0,48,6465000.0,50000000.0
Ecuador,289850000.0,37,8051388.888888889,80000000.0
Mexico,288850000.0,46,6279347.826086956,37000000.0
Algeria,282475000.0,89,3403313.253012048,35000000.0
Austria,281400000.0,38,7405263.157894737,28000000.0
Scotland,271950000.0,40,6798750.0,40000000.0
Czechia,224575000.0,46,4882065.217391305,24000000.0
South Korea,202100000.0,55,3674545.4545454546,45000000.0
Canada,200650000.0,37,5573611.111111111,50000000.0
DR Congo,183825000.0,62,4837500.0,28000000.0
Egypt,175950000.0,60,2982203.3898305083,60000000.0
Paraguay,151800000.0,38,4102702.7027027025,22000000.0
Bosnia and Herzegovina,117650000.0,38,3268055.5555555555,28000000.0
Tunisia,87725000.0,53,1720098.0392156863,9000000.0
Iran,63350000.0,51,1242156.862745098,8000000.0
Uzbekistan,58475000.0,44,1328977.2727272727,12000000.0
Australia,55350000.0,52,1085294.1176470588,8500000.0
South Africa,51775000.0,72,877542.3728813559,9000000.0
Cape Verde,50925000.0,47,1157386.3636363635,15000000.0
Haiti,44200000.0,40,1339393.9393939395,18000000.0
Panama,38435000.0,52,768700.0,7000000.0
Saudi Arabia,38400000.0,49,783673.4693877551,5000000.0
Curaçao,34425000.0,35,1075781.25,6000000.0
Qatar,29575000.0,51,579901.9607843137,7500000.0
New Zealand,27525000.0,37,764583.3333333334,7000000.0
Iraq,23125000.0,49,481770.8333333333,2500000.0
Jordan,16100000.0,43,575000.0,6000000.0
