date,year,host,round,home_team,away_team,home_score,away_score,home_xg,away_xg,attendance,home_manager,away_manager,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2022-12-18,2022,Qatar,Final,Argentina,France,3,3,3.3,2.2,88966,Lionel Scaloni,Didier Deschamps,5,3,0,0
2022-12-17,2022,Qatar,Third-place match,Croatia,Morocco,2,1,0.7,1.2,44137,Zlatko Dalić,Hoalid Regragui,0,2,0,0
2022-12-14,2022,Qatar,Semi-finals,France,Morocco,2,0,2.0,0.9,68294,Didier Deschamps,Hoalid Regragui,0,1,0,0
2022-12-13,2022,Qatar,Semi-finals,Argentina,Croatia,3,0,2.3,0.5,88966,Lionel Scaloni,Zlatko Dalić,2,2,0,0
2022-12-10,2022,Qatar,Quarter-finals,Morocco,Portugal,1,0,1.4,0.9,44198,Hoalid Regragui,Fernando Santos,2,1,0,0
2022-12-10,2022,Qatar,Quarter-finals,England,France,1,2,2.4,0.9,68895,Gareth Southgate,Didier Deschamps,1,3,0,0
2022-12-09,2022,Qatar,Quarter-finals,Croatia,Brazil,1,1,0.6,2.5,43893,Zlatko Dalić,Tite,2,3,0,0
2022-12-09,2022,Qatar,Quarter-finals,Netherlands,Argentina,2,2,0.6,1.9,88235,Louis van Gaal,Lionel Scaloni,7,10,0,0
2022-12-06,2022,Qatar,Round of 16,Morocco,Spain,0,0,0.7,1.0,44667,Hoalid Regragui,Luis Enrique,1,1,0,0
2022-12-06,2022,Qatar,Round of 16,Portugal,Switzerland,6,1,2.3,1.2,83720,Fernando Santos,Murat Yakin,0,2,0,0
2022-12-05,2022,Qatar,Round of 16,Japan,Croatia,1,1,1.2,1.4,42523,Hajime Moriyasu,Zlatko Dalić,0,2,0,0
2022-12-05,2022,Qatar,Round of 16,Brazil,South Korea,4,1,3.6,0.5,43847,Tite,Paulo Bento,0,1,0,0
2022-12-04,2022,Qatar,Round of 16,France,Poland,3,1,1.4,1.7,40989,Didier Deschamps,Czesław Michniewicz,1,2,0,0
2022-12-04,2022,Qatar,Round of 16,England,Senegal,3,0,1.0,0.8,65985,Gareth Southgate,Aliou Cissé,0,1,0,0
2022-12-03,2022,Qatar,Round of 16,Netherlands,USA,3,1,1.7,1.5,44846,Louis van Gaal,Gregg Berhalter,2,0,0,0
2022-12-03,2022,Qatar,Round of 16,Argentina,Australia,2,1,1.6,0.6,45032,Lionel Scaloni,Graham Arnold,0,2,0,0
2022-12-02,2022,Qatar,Group stage,South Korea,Portugal,2,1,1.7,1.3,44097,Sérgio Costa,Fernando Santos,2,0,0,0
2022-12-02,2022,Qatar,Group stage,Ghana,Uruguay,0,2,1.6,1.8,43443,Otto Addo,Diego Alonso,2,5,0,0
2022-12-02,2022,Qatar,Group stage,Cameroon,Brazil,1,0,0.5,2.5,85986,Rigobert Song,Tite,4,2,0,0
2022-12-02,2022,Qatar,Group stage,Serbia,Switzerland,2,3,1.3,2.7,41378,Dragan Stojković,Murat Yakin,7,4,0,0
2022-12-01,2022,Qatar,Group stage,Canada,Morocco,1,2,1.4,0.5,43102,John Herdman,Hoalid Regragui,4,0,0,0
2022-12-01,2022,Qatar,Group stage,Croatia,Belgium,0,0,0.7,3.0,43984,Zlatko Dalić,Roberto Martínez,0,1,0,0
2022-12-01,2022,Qatar,Group stage,Costa Rica,Germany,2,4,1.3,5.7,67054,Luis Fernando Suárez,Hansi Flick,1,0,0,0
2022-12-01,2022,Qatar,Group stage,Japan,Spain,2,1,1.4,1.0,44851,Hajime Moriyasu,Luis Enrique,3,0,0,0
2022-11-30,2022,Qatar,Group stage,Australia,Denmark,1,0,0.6,0.6,41232,Graham Arnold,Kasper Hjulmand,2,1,0,0
2022-11-30,2022,Qatar,Group stage,Tunisia,France,1,0,0.5,0.8,43627,Jalel Kadri,Didier Deschamps,1,0,0,0
2022-11-30,2022,Qatar,Group stage,Saudi Arabia,Mexico,1,2,1.1,2.3,84985,Hervé Renard,Tata Martino,6,1,0,0
2022-11-30,2022,Qatar,Group stage,Poland,Argentina,0,2,0.3,3.5,44089,Czesław Michniewicz,Lionel Scaloni,1,1,0,0
2022-11-29,2022,Qatar,Group stage,Ecuador,Senegal,1,2,0.9,2.1,44569,Gustavo Alfaro,Aliou Cissé,0,1,0,0
2022-11-29,2022,Qatar,Group stage,Netherlands,Qatar,2,0,1.6,0.1,66784,Louis van Gaal,Félix Sánchez,1,0,0,0
2022-11-29,2022,Qatar,Group stage,Iran,USA,0,1,0.4,1.2,42127,Carlos Queiroz,Gregg Berhalter,3,1,0,0
2022-11-29,2022,Qatar,Group stage,Wales,England,0,3,0.3,2.4,44297,Rob Page,Gareth Southgate,2,0,0,0
2022-11-28,2022,Qatar,Group stage,Cameroon,Serbia,3,3,2.2,1.9,39789,Rigobert Song,Dragan Stojković,2,2,0,0
2022-11-28,2022,Qatar,Group stage,South Korea,Ghana,2,3,1.8,1.6,43983,Paulo Bento,Otto Addo,2,2,2,0
2022-11-28,2022,Qatar,Group stage,Brazil,Switzerland,1,0,1.0,0.3,43649,Tite,Murat Yakin,1,1,0,0
2022-11-28,2022,Qatar,Group stage,Portugal,Uruguay,2,0,1.3,1.3,88668,Fernando Santos,Diego Alonso,3,2,0,0
2022-11-27,2022,Qatar,Group stage,Japan,Costa Rica,0,1,0.9,0.1,41479,Hajime Moriyasu,Luis Fernando Suárez,3,3,0,0
2022-11-27,2022,Qatar,Group stage,Belgium,Morocco,0,2,1.0,1.5,43738,Roberto Martínez,Hoalid Regragui,1,1,0,0
2022-11-27,2022,Qatar,Group stage,Croatia,Canada,4,1,2.6,0.4,44374,Zlatko Dalić,John Herdman,2,2,0,0
2022-11-27,2022,Qatar,Group stage,Spain,Germany,1,1,0.6,1.3,68895,Luis Enrique,Hansi Flick,1,3,0,0
2022-11-26,2022,Qatar,Group stage,Tunisia,Australia,0,1,0.9,0.6,41823,Jalel Kadri,Graham Arnold,3,0,0,0
2022-11-26,2022,Qatar,Group stage,Poland,Saudi Arabia,2,0,1.6,1.7,44259,Czesław Michniewicz,Hervé Renard,3,2,0,0
2022-11-26,2022,Qatar,Group stage,France,Denmark,2,1,2.4,0.6,42860,Didier Deschamps,Kasper Hjulmand,1,2,0,0
2022-11-26,2022,Qatar,Group stage,Argentina,Mexico,2,0,0.3,0.3,88966,Lionel Scaloni,Tata Martino,1,4,0,0
2022-11-25,2022,Qatar,Group stage,Wales,Iran,0,2,0.9,1.4,40875,Rob Page,Carlos Queiroz,1,2,2,0
2022-11-25,2022,Qatar,Group stage,Qatar,Senegal,1,3,1.0,0.8,41797,Félix Sánchez,Aliou Cissé,3,3,0,0
2022-11-25,2022,Qatar,Group stage,Netherlands,Ecuador,1,1,0.1,1.7,44833,Louis van Gaal,Gustavo Alfaro,0,1,0,0
2022-11-25,2022,Qatar,Group stage,England,USA,0,0,0.8,0.6,68463,Gareth Southgate,Gregg Berhalter,0,0,0,0
2022-11-24,2022,Qatar,Group stage,Switzerland,Cameroon,1,0,1.4,0.7,39089,Murat Yakin,Rigobert Song,2,1,0,0
2022-11-24,2022,Qatar,Group stage,Uruguay,South Korea,0,0,0.6,0.6,41663,Diego Alonso,Paulo Bento,1,2,0,0
2022-11-24,2022,Qatar,Group stage,Portugal,Ghana,3,2,2.0,0.9,42662,Fernando Santos,Otto Addo,2,4,0,0
2022-11-24,2022,Qatar,Group stage,Brazil,Serbia,2,0,2.4,0.2,88103,Tite,Dragan Stojković,0,3,0,0
2022-11-23,2022,Qatar,Group stage,Morocco,Croatia,0,0,0.4,0.5,59407,Hoalid Regragui,Zlatko Dalić,1,0,0,0
2022-11-23,2022,Qatar,Group stage,Germany,Japan,1,2,3.1,1.5,42608,Hansi Flick,Hajime Moriyasu,0,0,0,0
2022-11-23,2022,Qatar,Group stage,Spain,Costa Rica,7,0,3.5,0.0,40013,Luis Enrique,Luis Fernando Suárez,0,2,0,0
2022-11-23,2022,Qatar,Group stage,Belgium,Canada,1,0,0.8,2.4,40432,Roberto Martínez,John Herdman,3,2,0,0
2022-11-22,2022,Qatar,Group stage,Argentina,Saudi Arabia,1,2,2.2,0.1,88012,Lionel Scaloni,Hervé Renard,0,6,0,0
2022-11-22,2022,Qatar,Group stage,Denmark,Tunisia,0,0,1.4,0.9,42925,Kasper Hjulmand,Jalel Kadri,2,1,0,0
2022-11-22,2022,Qatar,Group stage,Mexico,Poland,0,0,0.7,0.9,39369,Tata Martino,Czesław Michniewicz,2,1,0,0
2022-11-22,2022,Qatar,Group stage,France,Australia,4,1,4.0,0.5,40875,Didier Deschamps,Graham Arnold,0,3,0,0
2022-11-21,2022,Qatar,Group stage,England,Iran,6,2,2.1,1.4,45334,Gareth Southgate,Carlos Queiroz,0,2,0,0
2022-11-21,2022,Qatar,Group stage,Senegal,Netherlands,0,2,0.9,0.7,41721,Aliou Cissé,Louis van Gaal,2,1,0,0
2022-11-21,2022,Qatar,Group stage,USA,Wales,1,1,0.8,1.5,43418,Gregg Berhalter,Rob Page,4,2,0,0
2022-11-20,2022,Qatar,Group stage,Qatar,Ecuador,0,2,0.3,1.2,67372,Félix Sánchez,Gustavo Alfaro,4,2,0,0
