team,numero,posicion,nombre,club,liga_top
Ecuador,1,1GK,Hernán Galíndez,Aucas,False
Ecuador,2,2DF,Félix Torres,Santos Laguna,False
Ecuador,3,2DF,Piero Hincapié,Bayer Leverkusen,True
Ecuador,4,2DF,Robert Arboleda,São Paulo,False
Ecuador,5,3MF,José Cifuentes,Los Angeles FC,False
Ecuador,6,2DF,William Pacho,Antwerp,False
Ecuador,7,2DF,Pervis Estupiñán,Brighton & Hove Albion,True
Ecuador,8,3MF,Carlos Gruezo,FC Augsburg,True
Ecuador,9,3MF,Ayrton Preciado,Santos Laguna,False
Ecuador,10,3MF,Romario Ibarra,Pachuca,False
Ecuador,11,4FW,Michael Estrada,Cruz Azul,False
Ecuador,12,1GK,Moisés Ramírez,Independiente del Valle,False
Ecuador,13,4FW,Enner Valencia*(captain)*,Fenerbahçe,False
Ecuador,14,2DF,Xavier Arreaga,Seattle Sounders FC,False
Ecuador,15,3MF,Ángel Mena,León,False
Ecuador,16,3MF,Jeremy Sarmiento,Brighton & Hove Albion,True
Ecuador,17,2DF,Ángelo Preciado,Genk,False
Ecuador,18,2DF,Diego Palacios,Los Angeles FC,False
Ecuador,19,3MF,Gonzalo Plata,Valladolid,False
Ecuador,20,3MF,Sebas Méndez,Los Angeles FC,False
Ecuador,21,3MF,Alan Franco,Talleres,False
Ecuador,22,1GK,Alexander Domínguez,LDU Quito,False
Ecuador,23,3MF,Moisés Caicedo,Brighton & Hove Albion,True
Ecuador,24,4FW,Djorkaeff Reasco,Newell's Old Boys,False
Ecuador,25,2DF,Jackson Porozo,Troyes,False
Ecuador,26,4FW,Kevin Rodríguez,Imbabura,False
Netherlands,1,1GK,Remko Pasveer,Ajax,True
Netherlands,2,2DF,Jurriën Timber,Ajax,True
Netherlands,3,2DF,Matthijs de Ligt,Bayern Munich,True
Netherlands,4,2DF,Virgil van Dijk*(captain)*,Liverpool,True
Netherlands,5,2DF,Nathan Aké,Manchester City,True
Netherlands,6,2DF,Stefan de Vrij,Internazionale,True
Netherlands,7,4FW,Steven Bergwijn,Ajax,True
Netherlands,8,4FW,Cody Gakpo,PSV Eindhoven,True
Netherlands,9,4FW,Luuk de Jong,PSV Eindhoven,True
Netherlands,10,4FW,Memphis Depay,Barcelona,True
Netherlands,11,3MF,Steven Berghuis,Ajax,True
Netherlands,12,4FW,Noa Lang,Club Brugge,True
Netherlands,13,1GK,Justin Bijlow,Feyenoord,False
Netherlands,14,3MF,Davy Klaassen,Ajax,True
Netherlands,15,3MF,Marten de Roon,Atalanta,True
Netherlands,16,2DF,Tyrell Malacia,Manchester United,True
Netherlands,17,2DF,Daley Blind,Ajax,True
Netherlands,18,4FW,Vincent Janssen,Antwerp,False
Netherlands,19,4FW,Wout Weghorst,Beşiktaş,False
Netherlands,20,3MF,Teun Koopmeiners,Atalanta,True
Netherlands,21,3MF,Frenkie de Jong,Barcelona,True
Netherlands,22,2DF,Denzel Dumfries,Internazionale,True
Netherlands,23,1GK,Andries Noppert,Heerenveen,False
Netherlands,24,3MF,Kenneth Taylor,Ajax,True
Netherlands,25,3MF,Xavi Simons,PSV Eindhoven,True
Netherlands,26,2DF,Jeremie Frimpong,Bayer Leverkusen,True
Qatar,1,1GK,Saad Al-Sheeb,Al-Sadd,False
Qatar,2,2DF,Ró-Ró,Al-Sadd,False
Qatar,3,3MF,Abdelkarim Hassan,Al-Sadd,False
Qatar,4,2DF,Mohammed Waad,Al-Sadd,False
Qatar,5,2DF,Tarek Salman,Al-Sadd,False
Qatar,6,3MF,Abdulaziz Hatem,Al-Rayyan,False
Qatar,7,4FW,Ahmed Alaaeldin,Al-Gharafa,False
Qatar,8,3MF,Ali Assadalla,Al-Sadd,False
Qatar,9,4FW,Mohammed Muntari,Al-Duhail,False
Qatar,10,3MF,Hassan Al-Haydos*(captain)*,Al-Sadd,False
Qatar,11,4FW,Akram Afif,Al-Sadd,False
Qatar,12,3MF,Karim Boudiaf,Al-Duhail,False
Qatar,13,2DF,Musab Kheder,Al-Sadd,False
Qatar,14,2DF,Homam Ahmed,Al-Gharafa,False
Qatar,15,2DF,Bassam Al-Rawi,Al-Duhail,False
Qatar,16,2DF,Boualem Khoukhi,Al-Sadd,False
Qatar,17,2DF,Ismaeel Mohammad,Al-Duhail,False
Qatar,18,4FW,Khalid Muneer,Al-Wakrah,False
Qatar,19,4FW,Almoez Ali,Al-Duhail,False
