team,players_top_league,fuente
Argentina,26,convocados
Germany,26,convocados
USA,26,proxy_leagues
Scotland,26,proxy_leagues
Morocco,26,proxy_leagues
Switzerland,26,proxy_leagues
Uruguay,26,proxy_leagues
Spain,26,proxy_leagues
Norway,26,proxy_leagues
Algeria,26,proxy_leagues
Netherlands,26,proxy_leagues
Ghana,26,proxy_leagues
France,23,convocados
England,23,convocados
Belgium,20,convocados
Croatia,17,convocados
Austria,16,convocados
Senegal,15,convocados
Portugal,15,convocados
Canada,14,proxy_leagues
Sweden,14,convocados
Colombia,13,convocados
Ecuador,12,proxy_leagues
Brazil,12,convocados
Turkey,12,convocados
Ivory Coast,11,convocados
Japan,9,convocados
DR Congo,7,convocados
Tunisia,7,convocados
Paraguay,6,convocados
Bosnia and Herzegovina,5,convocados
Mexico,5,convocados
Czechia,5,convocados
Australia,4,proxy_leagues
Egypt,4,convocados
South Korea,3,convocados
South Africa,2,proxy_leagues
Cape Verde,2,convocados
New Zealand,2,convocados
Saudi Arabia,1,proxy_leagues
Panama,1,proxy_leagues
Uzbekistan,1,convocados
Jordan,1,convocados
Iraq,0,proxy_leagues
Iran,0,convocados
Haiti,0,convocados
Curaçao,0,convocados
Qatar,0,convocados
