date,year,host,round,home_team,away_team,home_score,away_score,home_xg,away_xg,attendance,home_manager,away_manager,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2018-07-15,2018,Russia,Final,France,Croatia,4,2,1.1,1.1,78011,Didier Deschamps,Zlatko Dalić,2,1,0,0
2018-07-14,2018,Russia,Third-place match,Belgium,England,2,0,1.5,1.0,64406,Roberto Martínez,Gareth Southgate,1,2,0,0
2018-07-11,2018,Russia,Semi-finals,Croatia,England,2,1,1.7,0.6,78011,Zlatko Dalić,Gareth Southgate,2,1,0,0
2018-07-10,2018,Russia,Semi-finals,France,Belgium,1,0,1.7,0.4,64286,Didier Deschamps,Roberto Martínez,2,3,0,0
2018-07-07,2018,Russia,Quarter-finals,Sweden,England,0,2,0.5,1.0,39991,Janne Andersson,Gareth Southgate,2,1,0,0
2018-07-07,2018,Russia,Quarter-finals,Russia,Croatia,2,2,1.0,1.7,44287,Stanislav Cherchesov,Zlatko Dalić,1,4,0,0
2018-07-06,2018,Russia,Quarter-finals,Uruguay,France,0,2,0.9,0.5,43319,Óscar Tabárez,Didier Deschamps,2,2,0,0
2018-07-06,2018,Russia,Quarter-finals,Brazil,Belgium,1,2,2.8,0.5,42873,Tite,Roberto Martínez,2,2,0,0
2018-07-03,2018,Russia,Round of 16,Sweden,Switzerland,1,0,1.3,0.7,64042,Janne Andersson,Vladimir Petković,1,2,0,2
2018-07-03,2018,Russia,Round of 16,Colombia,England,1,1,0.6,2.1,44190,José Pekerman,Gareth Southgate,6,2,0,0
2018-07-02,2018,Russia,Round of 16,Brazil,Mexico,2,0,2.7,0.7,41970,Tite,Juan Carlos Osorio,2,4,0,0
2018-07-02,2018,Russia,Round of 16,Belgium,Japan,3,2,2.5,0.7,41466,Roberto Martínez,Akira Nishino,0,1,0,0
2018-07-01,2018,Russia,Round of 16,Spain,Russia,1,1,1.8,1.0,78011,Fernando Hierro,Stanislav Cherchesov,1,2,0,0
2018-07-01,2018,Russia,Round of 16,Croatia,Denmark,1,1,2.5,0.9,40851,Zlatko Dalić,Åge Hareide,0,1,0,0
2018-06-30,2018,Russia,Round of 16,France,Argentina,4,3,2.2,0.8,42873,Didier Deschamps,Jorge Sampaoli,3,5,0,0
2018-06-30,2018,Russia,Round of 16,Uruguay,Portugal,2,1,0.6,1.0,44287,Óscar Tabárez,Fernando Santos,0,1,0,0
2018-06-28,2018,Russia,Group stage,Japan,Poland,0,1,0.7,1.4,42189,Akira Nishino,Adam Nawałka,1,0,0,0
2018-06-28,2018,Russia,Group stage,Senegal,Colombia,0,1,0.5,0.3,41970,Aliou Cissé,José Pekerman,1,1,0,0
2018-06-28,2018,Russia,Group stage,England,Belgium,0,1,0.9,1.3,33973,Gareth Southgate,Roberto Martínez,0,2,0,0
2018-06-28,2018,Russia,Group stage,Panama,Tunisia,1,2,0.6,2.1,37168,Hernán Darío Gómez,Nabil Maâloul,3,3,0,0
2018-06-27,2018,Russia,Group stage,South Korea,Germany,2,0,1.7,2.7,41835,Shin Taeyong,Joachim Löw,4,0,0,0
2018-06-27,2018,Russia,Group stage,Mexico,Sweden,0,3,1.4,2.4,33061,Juan Carlos Osorio,Janne Andersson,3,2,0,0
2018-06-27,2018,Russia,Group stage,Switzerland,Costa Rica,2,2,1.4,1.5,43319,Vladimir Petković,Oscar Ramírez,3,3,0,0
