team,country_code,gdp_per_capita,population,education_spend_pct_gdp,life_expectancy
USA,USA,84534.0407841548,340110988,5.42038011550903,78.890243902439
Canada,CAN,54340.3477224733,41288599,4.84426021575928,82.1080487804878
Mexico,MEX,14185.7812248529,130861007,4.05987977981567,75.264
Argentina,ARG,13969.7836603737,45696159,5.00324010848999,77.543
Brazil,BRA,10310.5488778166,211998573,5.61920976638794,76.023
Uruguay,URU,23906.5133029408,3386588,4.76461982727051,78.287
Colombia,COL,7919.20886825345,52886363,5.26166009902954,77.913
Ecuador,ECU,6874.705739766,18135478,3.69074988365173,77.579
Paraguay,PRY,6416.09708970845,6929153,3.53410005569458,73.982
France,FRA,46103.0840855884,68551653,5.32434988021851,82.9804878048781
England,ENG,53246.3676145108,69226000,5.90681982040405,81.3868536585366
Spain,ESP,35326.7683069278,48848840,4.58553981781006,83.8878048780488
Germany,DEU,56103.7323182554,83516593,5.23916006088257,80.7926829268293
Portugal,PRT,29292.242104753,10694681,4.55160999298096,82.3829268292683
Netherlands,NLD,67520.4218956281,17993485,5.17918014526367,81.9658536585366
Belgium,BEL,56614.5679499036,11858610,6.27611017227173,82.3
Italy,ITA,40385.3413957669,58952704,4.06775999069214,83.9512195121951
Croatia,HRV,24050.4397933135,3866200,4.0916600227356,78.9292682926829
Austria,AUT,58268.8787651601,9177982,5.27749013900757,81.9951219512195
Switzerland,CHE,103998.186685604,9005582,4.86427021026611,84.4073170731707
Denmark,DNK,71026.4832271897,5976992,6.35586023330688,82.2536585365854
Norway,NOR,86785.4334489176,5572279,5.43234014511108,83.1609756097561
Sweden,SWE,57117.4877440616,10569709,7.31909990310669,84.0634146341463
Poland,POL,25103.565661423,36559233,4.31372976303101,78.409756097561
Ukraine,UKR,5389.47314453125,37860221,5.14010000228882,74.692
Serbia,SRB,13679.2065983557,6586476,3.40377998352051,75.9682926829268
Hungary,HUN,23292.3263882478,9562065,3.8011999130249,76.7243902439025
Czechia,CZE,31823.3078290564,10905028,4.30291986465454,79.9780487804878
Turkey,TUR,15892.7157287241,85518661,3.09571003913879,77.421
Morocco,MAR,4153.1943359375,38081173,6.02096928801329,75.493
Senegal,SEN,1773.21829923448,18501984,6.16277045366329,68.924
Ivory Coast,CIV,2727.8935220697,31934230,3.61279988288879,62.11
Ghana,GHA,2390.77237652715,34427414,2.90963831638452,65.695
Egypt,EGY,3338.47371395895,116538258,3.76082992553711,71.806
South Africa,ZAF,6267.186814093,64007187,6.02110004425049,66.312
Algeria,DZA,5752.99076651465,46814308,8.97772026062012,76.475
Tunisia,TUN,4181.13789301228,12277109,6.73398856321206,76.711
Japan,JPN,32487.0778047567,123975371,3.33663988113403,84.0363414634146
South Korea,KOR,36238.639908315,51751065,5.40910005569458,83.6292682926829
Iran,IRN,5190.16959024821,91567738,2.82443290958712,77.854
Saudi Arabia,SAU,35121.6628687742,35300280,4.48087978363037,78.982
Australia,AUS,64603.9856308464,27196812,5.05915021896362,83.0512195121951
New Zealand,NZL,49205.1792146792,5287500,5.21326017379761,82.009756097561
Uzbekistan,UZB,3161.70010632875,36361859,5.47287597270024,72.528
Qatar,QAT,76688.6941743178,2857822,3.23368000984192,82.522
Bosnia and Herzegovina,BIH,9358.78768951134,3164253,3.24564826597779,78.044
Cape Verde,CPV,5192.48157325878,524877,4.3482854136693,76.224
Curaçao,CUW,22832.8953958667,155967,5.44313725490196,76.989
DR Congo,COD,649.383338556725,109276265,2.84466514463005,62.074
Haiti,HTI,2142.62330526788,11772557,0.964648012977964,65.119
Iraq,IRQ,6073.61032342708,46042015,3.55150008201599,72.424
Jordan,JOR,4618.09592498567,11552876,3.23356008529663,77.981
Panama,PAN,19161.2188501596,4515577,2.47225999832153,79.775
Scotland,SCO,53246.3676145108,69226000,5.90681982040405,81.3868536585366
