team,P_campeon,ci_lower,ci_upper,wins,rank
Argentina,0.1581,0.1509492390291382,0.16525076097086178,1581,1
Spain,0.1224,0.1159761544945103,0.12882384550548967,1224,2
France,0.0858,0.08031065756418859,0.09128934243581141,858,3
England,0.0717,0.06664338574759751,0.07675661425240249,717,4
Portugal,0.0649,0.060071553227134006,0.06972844677286599,649,5
Brazil,0.0636,0.05881683533981947,0.06838316466018055,636,6
Colombia,0.0513,0.04697606452758601,0.05562393547241399,513,7
Croatia,0.0373,0.033585879642014815,0.041014120357985184,373,8
Uruguay,0.0344,0.030827815175218393,0.03797218482478161,344,9
Morocco,0.0323,0.02883480480873011,0.035765195191269895,323,10
Germany,0.0311,0.027697675411369457,0.03450232458863054,311,11
Belgium,0.0281,0.0248609323220408,0.0313390676779592,281,12
Netherlands,0.0272,0.02401175046999141,0.030388249530008588,272,13
Iran,0.0248,0.021751903178440685,0.027848096821559313,248,14
Senegal,0.0206,0.017815996791955873,0.023384003208044127,206,15
Mexico,0.0192,0.0165103429107784,0.021889657089221595,192,16
Ecuador,0.0162,0.013725616632451632,0.018674383367548366,162,17
United States,0.0123,0.010139664740462722,0.014460335259537278,123,18
Switzerland,0.0121,0.009957083498033578,0.014242916501966421,121,19
Japan,0.0118,0.009683494020419504,0.013916505979580496,118,20
Austria,0.009,0.00714896703432921,0.01085103296567079,90,21
Turkiye,0.0079,0.0061648087787220685,0.009635191221277933,79,22
Algeria,0.0077,0.005986741364066709,0.009413258635933291,77,23
South Korea,0.0058,0.004311643571720806,0.0072883564282791935,58,24
Egypt,0.0054,0.003963594105275253,0.006836405894724748,54,25
Ivory Coast,0.0046,0.003273724321869695,0.005926275678130305,46,26
Scotland,0.0043,0.003017508330787291,0.005582491669212709,43,27
Canada,0.0043,0.003017508330787291,0.005582491669212709,43,28
Norway,0.0042,0.002932445102727302,0.0054675548972726975,42,29
Paraguay,0.0039,0.0026783695622652486,0.0051216304377347515,39,30
Sweden,0.0025,0.0015212257665835293,0.0034787742334164706,25,31
Tunisia,0.0024,0.0014409529529788435,0.003359047047021156,24,32
Australia,0.0022,0.0012816903215145776,0.003118309678485423,22,33
Uzbekistan,0.002,0.0011243383301754038,0.0028756616698245962,20,34
DR Congo,0.0018,0.0009691911642260898,0.0026308088357739103,18,35
Panama,0.0017,0.0008925584989610702,0.0025074415010389295,17,36
Czechia,0.0016,0.0008166274510809049,0.002383372548919095,16,37
South Africa,0.0011,0.0004502991716181979,0.0017497008283818023,11,38
Qatar,0.0009,0.0003122646595618058,0.0014877353404381941,9,39
Iraq,0.0008,0.00024585007660381296,0.001354149923396187,8,40
Cape Verde,0.0003,0.0,0.0006394310321700123,3,41
Ghana,0.0003,0.0,0.0006394310321700123,3,42
Bosnia-Herzegovina,0.0001,0.0,0.00029599019975498777,1,43
